topic	words
0	"solar,455|energy,322|solarcity,231|financial,192|power,191|times,175|space,169|storage,123|launch,108|panel,96|spacex,87|scty,77|system,72|force,68|ft,67|trademark,63|air,62|rocket,58|corp,57|boeing,56|grid,54|utility,53|battery,49|exploration,48|electricity,45|technologies,44|project,44|commercial,42|satellite,41|cost,41|"
1	"quarter,766|share,703|million,588|year,553|company,424|cent,346|report,332|earnings,306|revenue,302|sale,297|loss,284|profit,243|percent,232|fourth,231|expect,218|estimate,204|billion,180|net,165|analyst,160|rise,144|ago,142|increase,136|result,134|compare,128|post,108|period,102|cash,100|earlier,97|beat,90|fiscal,86|"
2	"tesla,239|model,214|consumer,212|top,173|car,156|year,132|brand,110|reports,107|survey,89|score,87|report,82|drive,81|owner,73|give,71|magazine,65|test,64|award,61|highest,60|list,49|category,40|pick,40|quality,37|people,36|vehicle,35|win,33|receive,32|news,32|satisfaction,31|annual,30|rating,30|"
3	"battery,1380|tesla,902|gigafactory,446|lithium,416|factory,405|cost,364|ion,322|plan,322|build,305|production,275|panasonic,249|electric,241|car,240|billion,233|pack,232|year,229|supply,224|produce,214|company,201|cell,200|vehicle,177|plant,170|expect,145|partner,130|project,111|mass,108|motors,93|market,86|supplier,84|capacity,82|"
4	"quotes,403|zigman,212|nls,190|delayed,142|tsla,126|tesla,86|share,63|delay,59|motors,51|term,50|district,46|policy,44|add,43|marketwatch,39|watchlist,38|action,38|financial,38|item,37|provide,35|information,35|intraday,34|agree,32|northern,32|dec,31|market,30|create,29|california,27|site,26|november,26|behalf,25|"
5	"gold,215|search,200|company,145|result,119|view,101|headline,98|resources,96|ads,95|goldman,93|wine,90|ran,89|wsj,88|angeles,68|los,66|steal,63|police,56|split,52|crash,48|chase,48|high,46|half,43|speed,42|july,41|burn,40|veteran,31|lead,25|worker,23|study,22|incident,22|kong,21|"
6	"tesla,669|charge,643|station,598|supercharger,473|network,364|model,273|electric,242|car,181|country,145|vehicle,145|drive,141|owner,141|minute,133|travel,126|trip,124|mile,116|coast,113|driver,112|open,108|motors,105|build,100|end,98|plan,88|service,87|york,85|superchargers,84|city,84|company,78|center,77|long,74|"
7	"model,2439|tesla,1828|car,1325|electric,837|price,722|vehicle,653|sedan,351|cost,335|market,307|motors,287|sell,287|range,265|year,227|luxury,217|make,205|battery,187|launch,186|sale,168|base,145|credit,141|start,134|month,131|automaker,121|buyer,121|kwh,119|suv,118|version,117|plan,117|tax,111|california,110|"
8	"industry,211|average,136|company,133|equity,128|compare,128|debt,109|significantly,104|stock,98|automobile,93|motors,87|tesla,87|market,74|return,71|ratio,69|share,67|quarter,66|rating,62|year,55|trail,54|level,54|ago,53|factor,51|imply,50|report,50|effort,49|low,49|management,48|basis,47|thestreet,46|successful,45|"
9	"government,76|loan,74|state,69|director,68|program,56|federal,52|ftc,50|consumer,46|comment,37|post,36|trade,36|office,35|white,34|competition,34|bureau,33|technology,33|commission,32|obama,31|washington,30|house,29|official,29|energy,28|department,28|agency,27|president,27|write,27|support,26|blog,26|staff,26|administration,25|"
